Ticker,Company,Sector,Country,beta,profit_margin,pe_ratio,ev/ebita,eps,total_esg,e_esg,s_esg,g_esg,highestControversy,Cluster
1109.HK,China Resources Land Limited,Properties,Hong Kong,0.532941,0.14142999,7.977178,11.283,4.82,20.25,5.75,6.65,7.85,1,0
1113.HK,CK Property Holdings Limited,Properties,Hong Kong,0.832941,0.34999,7.6584234,6.165,6.47,18.81,5.25,6.34,7.22,1,0
2007.HK,Country Garden,Properties,Hong Kong,2.079215,0.02755,4.734375,8.463,0.64,21.89,7.4,6.32,8.18,0,0
0066.HK,MTR Corporation Ltd,Commerce & Industry,Hong Kong,0.557254,0.24231,22.326202,11.931,1.87,21.56,8.59,8.84,4.13,2,0
0175.HK,Geely Auto,Commerce & Industry,Hong Kong,1.161568,0.03502,27.136362,34.847,0.44,23.79,5.66,9.39,8.74,0,0
0669.HK,Techtronic Industries,Commerce & Industry,Hong Kong,1.425098,0.08332,18.061224,111.737,4.9,22.87,8.91,8.06,5.89,1,0
0992.HK,Lenovo,Commerce & Industry,Hong Kong,1.208627,0.029760001,4.945737,18.538,1.29,15.25,0.17,7.49,7.59,2,0
2020.HK,Anta Sports,Commerce & Industry,Hong Kong,0.852549,0.1423,34.169384,24.267,3.07,17.42,1.62,8.47,7.34,2,0
2313.HK,Shenzhou International,Commerce & Industry,Hong Kong,1.070196,0.13472,34.790874,30.463,2.63,16.41,4.0,7.49,4.92,0,0
9999.HK,NetEase,Commerce & Industry,Hong Kong,0.431461,0.23115999,17.035519,-0.069,7.32,14.99,0.09,8.43,6.46,2,0
